trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
197,False,"{'a': 0.5, 'e': 0.8303839026996727}",25,5,-26.83119250620692,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.8287085934264558}",20,0,-118.01977679689759,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
199,False,"{'a': 0.5, 'e': 0.8270258257814919}",20,0,-73.68915403788623,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
200,False,"{'a': 0.5, 'e': 0.8253356149096783}",35,0,-192.21966510314599,"{0: 19, 1: 6, 2: 5, 3: 3, 4: 2}",0
201,False,"{'a': 0.5, 'e': 0.8236379760229016}",20,0,-42.05391288616018,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
202,False,"{'a': 0.5, 'e': 0.8219329243999003}",20,0,-38.87208404686417,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
203,False,"{'a': 0.5, 'e': 0.8202204753861273}",25,0,-94.65226404227742,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
204,False,"{'a': 0.5, 'e': 0.8185006443936125}",25,0,-145.41401114889464,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
205,False,"{'a': 0.5, 'e': 0.8167734469008229}",20,0,-26.047294080120093,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
206,False,"{'a': 0.5, 'e': 0.8150388984525244}",25,0,-151.74250798333486,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
207,False,"{'a': 0.5, 'e': 0.8132970146596414}",25,0,-80.92542075164242,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
208,False,"{'a': 0.5, 'e': 0.8115478111991162}",25,0,-92.2446201287724,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
209,False,"{'a': 0.5, 'e': 0.8097913038137682}",25,0,-186.87940492240048,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
210,False,"{'a': 0.5, 'e': 0.8080275083121519}",20,0,-142.49180972665317,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
211,False,"{'a': 0.5, 'e': 0.806256440568415}",20,0,-26.55322498234484,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
212,False,"{'a': 0.5, 'e': 0.8044781165221552}",20,0,-36.23119523607458,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
213,False,"{'a': 0.5, 'e': 0.8026925521782768}",20,0,-108.11113914157164,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
214,False,"{'a': 0.5, 'e': 0.8008997636068472}",30,0,-118.7758793375716,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
215,False,"{'a': 0.5, 'e': 0.7990997669429512}",25,10,-95.28993453512831,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 2}",1
216,False,"{'a': 0.5, 'e': 0.7972925783865465}",20,7,-38.41370404421263,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
217,False,"{'a': 0.5, 'e': 0.795478214202318}",30,4,-80.07968189070772,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 1}",1
218,False,"{'a': 0.5, 'e': 0.7936566907195313}",20,0,-25.992037271582845,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
219,False,"{'a': 0.5, 'e': 0.7918280243318853}",20,0,-119.1400216811603,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
220,False,"{'a': 0.5, 'e': 0.7899922314973651}",25,11,-52.697057614640165,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
221,False,"{'a': 0.5, 'e': 0.7881493287380938}",20,0,-57.635168562334194,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
222,False,"{'a': 0.5, 'e': 0.7862993326401839}",20,0,-101.32332704186987,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
223,False,"{'a': 0.5, 'e': 0.7844422598535878}",25,0,-57.59362241616703,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
224,False,"{'a': 0.5, 'e': 0.7825781270919481}",20,0,-39.198460885178555,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.7807069511324468}",20,0,-109.21037864201408,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
226,False,"{'a': 0.5, 'e': 0.7788287488156552}",25,8,-37.05601885910713,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
227,False,"{'a': 0.5, 'e': 0.7769435370453812}",20,10,-114.05156899088769,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 2}",1
228,False,"{'a': 0.5, 'e': 0.7750513327885183}",20,13,1.4231751793754712,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.7731521530748919}",25,7,-53.38421192430994,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
230,False,"{'a': 0.5, 'e': 0.7712460149971065}",20,0,-30.46302873520822,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
231,False,"{'a': 0.5, 'e': 0.7693329357103922}",35,0,-172.2337563018376,"{0: 22, 1: 3, 2: 7, 3: 0, 4: 3}",0
232,False,"{'a': 0.5, 'e': 0.7674129324324493}",25,0,-72.77012495726339,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
233,False,"{'a': 0.5, 'e': 0.7654860224432947}",25,12,-38.122169449159706,"{0: 7, 1: 3, 2: 2, 3: 1, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.7635522230851051}",25,0,-62.26651376846898,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
235,False,"{'a': 0.5, 'e': 0.7616115517620617}",25,0,-87.24818762715974,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
236,False,"{'a': 0.5, 'e': 0.7596640259401933}",20,0,-4.677799881779796,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
237,False,"{'a': 0.5, 'e': 0.7577096631472192}",35,8,-186.62393040808158,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 4}",1
238,False,"{'a': 0.5, 'e': 0.7557484809723913}",25,0,-6.163960608097627,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
239,False,"{'a': 0.5, 'e': 0.753780497066336}",20,0,-114.21338954500533,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
240,False,"{'a': 0.5, 'e': 0.751805729140895}",20,0,-0.7358791201933501,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
241,False,"{'a': 0.5, 'e': 0.7498241949689665}",20,0,-47.354813564028504,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
242,False,"{'a': 0.5, 'e': 0.7478359123843445}",25,0,-74.32423387869787,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
243,False,"{'a': 0.5, 'e': 0.745840899281559}",20,0,-93.12830046639405,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
244,False,"{'a': 0.5, 'e': 0.7438391736157144}",20,0,-107.54127817293787,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
245,False,"{'a': 0.5, 'e': 0.7418307534023283}",25,0,-88.86174127899622,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
246,False,"{'a': 0.5, 'e': 0.7398156567171688}",25,8,-80.487830663559,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
247,False,"{'a': 0.5, 'e': 0.7377939016960925}",20,0,-71.48666524960808,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
248,False,"{'a': 0.5, 'e': 0.7357655065348812}",25,8,-68.15793251114792,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
249,False,"{'a': 0.5, 'e': 0.7337304894890774}",30,0,-48.20969655687518,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
250,False,"{'a': 0.5, 'e': 0.7316888688738209}",20,3,-76.51934464371443,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
251,False,"{'a': 0.5, 'e': 0.7296406630636835}",25,9,-46.86221488327983,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
252,False,"{'a': 0.5, 'e': 0.7275858904925034}",25,0,-4.723344308817287,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
253,False,"{'a': 0.5, 'e': 0.7255245696532202}",25,0,-68.05891922409009,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
254,False,"{'a': 0.5, 'e': 0.7234567190977075}",20,0,-127.97407245857882,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
255,False,"{'a': 0.5, 'e': 0.7213823574366063}",25,0,-111.55370862047943,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
256,False,"{'a': 0.5, 'e': 0.7193015033391573}",20,0,-50.22286023197647,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
257,False,"{'a': 0.5, 'e': 0.7172141755330337}",25,0,-51.54273604356021,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
258,False,"{'a': 0.5, 'e': 0.7151203928041714}",25,0,-51.86178625143141,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
259,False,"{'a': 0.5, 'e': 0.7130201739966009}",20,0,-169.4263745511313,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
260,False,"{'a': 0.5, 'e': 0.7109135380122773}",20,0,-92.0441473396101,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
261,False,"{'a': 0.5, 'e': 0.7088005038109104}",20,0,-87.5474063060334,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
262,False,"{'a': 0.5, 'e': 0.7066810904097935}",25,0,-67.00907700334797,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
263,False,"{'a': 0.5, 'e': 0.704555316883633}",25,0,-121.8821510024851,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
264,False,"{'a': 0.5, 'e': 0.7024232023643764}",20,12,-49.2794357920483,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
265,False,"{'a': 0.5, 'e': 0.7002847660410397}",25,2,-63.48224492975623,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.6981400271595357}",20,0,-62.977224507751004,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
267,False,"{'a': 0.5, 'e': 0.6959890050224996}",20,0,-158.87066151703854,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
268,False,"{'a': 0.5, 'e': 0.6938317189891162}",20,0,-65.52575416547623,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
269,False,"{'a': 0.5, 'e': 0.6916681884749454}",25,0,-44.13555245056399,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
270,False,"{'a': 0.5, 'e': 0.6894984329517471}",25,0,-11.74876859779269,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
271,False,"{'a': 0.5, 'e': 0.6873224719473062}",20,0,-100.47902886225089,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
272,False,"{'a': 0.5, 'e': 0.6851403250452572}",30,17,-27.095132918110096,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.6829520118849076}",30,0,-98.28867561932599,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
274,False,"{'a': 0.5, 'e': 0.6807575521610609}",20,0,-63.871847924182966,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
275,False,"{'a': 0.5, 'e': 0.6785569656238399}",20,14,-12.393743956042316,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.6763502720785085}",25,10,-69.68064209489013,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
277,False,"{'a': 0.5, 'e': 0.6741374913852938}",25,12,2.648126216026085,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.671918643459207}",30,0,-95.57306710584253,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
279,False,"{'a': 0.5, 'e': 0.6696937482698646}",30,0,-25.49015241666489,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
280,False,"{'a': 0.5, 'e': 0.6674628258413082}",25,12,16.6381030087754,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.6652258962518245}",35,4,-185.70563176281163,"{0: 19, 1: 5, 2: 3, 3: 0, 4: 4}",1
282,False,"{'a': 0.5, 'e': 0.662982979633765}",30,0,-46.62640321654624,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
283,False,"{'a': 0.5, 'e': 0.6607340961733636}",20,7,-39.72145908241094,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
284,False,"{'a': 0.5, 'e': 0.6584792661105568}",20,0,-5.9275879080601195,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
285,False,"{'a': 0.5, 'e': 0.6562185097387998}",20,0,-42.34688447655636,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
286,False,"{'a': 0.5, 'e': 0.6539518474048845}",30,16,-38.00671075520019,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.6516792995087568}",20,0,-79.67458940027876,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
288,False,"{'a': 0.5, 'e': 0.6494008865033324}",20,0,-27.705085886733773,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
289,False,"{'a': 0.5, 'e': 0.6471166288943128}",20,0,-93.13185554684514,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
290,False,"{'a': 0.5, 'e': 0.6448265472400012}",20,5,-77.59935099420322,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 1}",1
291,False,"{'a': 0.5, 'e': 0.6425306621511171}",20,0,-104.17407589527551,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
292,False,"{'a': 0.5, 'e': 0.6402289942906106}",20,0,-15.67245854005691,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
293,False,"{'a': 0.5, 'e': 0.6379215643734772}",20,0,-38.14953584815775,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
294,False,"{'a': 0.5, 'e': 0.6356083931665704}",25,0,26.39293594335859,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
295,False,"{'a': 0.5, 'e': 0.6332895014884152}",20,0,-73.0978745449772,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
